Air_Density,Temperature,Humidity,Blade_Length,Power_Output
1.028,10.6,87.2,51,2986.03
1.173,12.1,47.3,30,1397.09
1.011,12.4,30.6,73,5115.72
1.14,20.6,94,64,5998.94
1.163,28.3,26.1,75,9485.06
1.086,7.6,76.6,39,1673.34
1.177,21.5,90.6,61,6312.82
1.009,0.2,29.6,42,1535.03
1.011,17.7,61.5,35,1327.62
1.247,17.3,24.2,63,5430.32
1.108,34.4,56.7,38,2028.61
1.038,34.8,83,49,3894.58
1.157,14.4,44.3,38,1529.92
1.231,-8.8,38.7,60,3398.32
1.065,32.2,40.1,49,3081.22
1.187,-10,83.3,72,4540.45
1.026,13.9,97.9,33,1322.27
1.016,-9,38.3,67,3414
1.159,7.6,25.5,68,5272.98
1.162,21.8,30.1,58,5078.27
1.191,8.6,70.3,67,5670.34
1.218,36.3,74.1,46,3161.26
1.293,22,55.9,69,8466.67
1.155,22.3,26.3,46,2719.03
1.097,8.7,94.2,68,4872.4
1.239,-8.1,94.4,63,4890.72
1.081,26.9,51.5,68,7162.85
1.132,25.8,85.7,64,5238.46
1.024,16.5,91.9,73,5471.34
1.008,10.8,60.6,72,5888.99
1.289,16.9,68.1,65,6142.83
1.251,27.3,78.6,51,4790.03
1.209,25.6,91.3,50,3480.76
1.123,22.9,27.1,47,3298.82
1.052,35.2,24.2,76,9731.41
1.047,20.5,74,43,2399.21
1.075,-9.3,23.8,77,5157.4
1.165,20.9,28.4,57,4562.38
1.214,20.6,53.8,47,3622.02
1.198,-6.5,34.6,62,4551.12
1.084,11.4,91.9,57,3995.22
1.286,22.6,46.5,48,2926.28
1.221,25.2,66.2,63,6581.69
1.166,34.7,20.8,44,3433.17
1.184,32.1,61.1,44,2665.77
1.126,-4.2,84.8,49,2708.4
1.074,20.4,97.5,66,5098.69
1.107,19.8,74.3,57,3515.42
1.227,5.2,36.2,65,5969.93
1.004,-0.8,49,78,6364.55
1.035,0,32.5,79,7133.51
1.014,-1.1,47,42,1568.88
1.012,30.3,64.9,80,9991.6
1.257,-2.6,59,36,1774.49
1.211,3.2,89.9,50,2974.33
1.142,0.9,36.3,47,2687.64
1.029,25.6,54.7,39,2161.29
1.147,-2.1,70.6,68,4682.53
1.142,-8.8,98.5,32,921.74
1.052,8.7,37.1,52,3378.54
1.13,5.3,86.6,35,1472.26
1.12,9.9,69.4,67,6384.54
1.185,27.7,30.7,56,3926.26
1.191,-9.4,82.7,59,4442.16
1.014,-8.1,34,76,4958.74
1.112,2.8,76,59,4289.57
1.188,34.5,39.2,44,2512.74
1.151,-1.5,57.5,31,875.13
1.257,39.9,82.7,32,2094.83
1.198,30.3,70.7,39,2286.2
1.049,12.8,79.2,59,3484.53
1.021,27.4,84.3,49,3429.65
1.193,15.9,22.8,39,1897.77
1.008,18.3,58.4,45,2864.3
1.176,19,98.9,65,5753.43
1.282,22.4,83.6,67,5754.42
1.173,-7,49.3,33,1145.23
1.116,20.8,42.8,53,3791.02
1.193,25.8,76.4,53,4194.89
1.137,5.5,31,78,8483.11
1.164,38.9,90.6,35,2287.54
1.282,-2.8,26.5,38,2033.79
1.116,35.5,64.7,31,1214.51
1.288,23.8,87.7,71,9451.94
1.272,23.2,77.6,41,2400.78
1.059,33.8,58.8,48,2675.8
1.021,31.6,38.4,45,3262.06
1.03,7.3,68,61,3393.36
1.005,25.3,97.3,39,1578.84
1.028,-7.5,27.6,77,6321.2
1.205,13.2,22.5,32,1156.67
1.021,36.9,53.6,50,3435.87
1.096,3.7,67.3,73,6553.2
1.253,-7.5,48.6,66,4709.96
1.007,19.1,77.4,61,4757.47
1.244,7.8,61.8,40,2536.86
1.085,9,47.8,72,7343.54
1.035,19.1,83.5,78,7497.8
1.209,21.1,28,40,2586.66
1.189,11.9,23.2,73,7534.12
1.263,15.4,24.5,71,8574.35
1.221,39.7,85.1,33,2178.24
1.241,37.9,83.9,42,3111.41
1.085,25.4,86.5,40,2005.72
1.053,-1.9,42.7,63,3482
1.225,8,59.3,30,1122.72
1.242,34.2,45.6,64,7364.05
1.297,11.2,67,35,1695.42
1.124,37.8,87.6,47,2765.28
1.112,14.4,21.6,38,1908.02
1.233,33.1,65.6,52,4281.19
1.102,-8.2,36.1,54,2658.3
1.279,11.7,89.6,67,6010.66
1.258,25,96.6,71,8540.66
1.129,33.2,86.2,80,7838.6
1.225,20.5,22.7,51,3673.68
1.226,-1.3,44.2,46,2126.94
1.031,34.3,38.4,78,9145.62
1.271,18.7,86.1,38,2608.78
1.152,-4.6,21.4,79,6516.93
1.248,13.2,93.8,78,9826.12
1.096,24.9,67,67,7055.26
1.269,12.6,79.5,70,7596.4
1.117,33.5,56.5,42,2229.63
1.003,11.2,76.6,47,2713.35
1.272,19.2,46.8,80,9408.85
1.027,0.6,72.8,39,1727.27
1.096,15.6,54.5,44,2261.89
1.285,1.1,94.6,78,9284.1
1.285,1.3,94.4,66,4667.6
1.172,4,65.6,47,3193.99
1.19,-7.8,81.9,34,1186.59
1.135,-1.8,79.4,65,4138.5
1.088,11.2,76.5,34,1452.77
1.099,-3.4,97.9,66,4670.75
1.202,-3.3,90.2,74,7286.41
1.226,38.4,79.6,37,2603.62
1.237,11.4,26.3,49,3415.06
1.237,10.2,48.4,78,8175.07
1.027,3.4,47.5,63,5054.77
1.148,15.6,61,80,7542.17
1.017,19.8,88.5,55,4146.91
1.165,10.9,73.8,69,5735.35
1.132,9.7,81.7,76,7171.06
1.266,25,23.3,71,6542.48
1.105,37.5,24.3,44,2574.39
1.035,33.9,94.3,54,3686.06
1.043,-4.1,36.8,76,5022.17
1.228,22.6,83.6,60,4567.91
1.185,-9.6,63.9,80,7488.62
1.03,21.7,48,38,1917.97
1.025,13.2,81.1,80,7679.53
1.21,14.6,97.2,66,5742.79
1.022,19.4,40.7,64,4052.21
1.247,27.1,48.2,55,4325.49
1.212,26.5,43.5,33,1619.19
1.024,-7.8,71.6,55,2944.29
1.025,26.8,77.9,40,2090.74
1.296,31.5,58.3,68,7389.69
1.112,-6.6,37.2,34,1015.98
1.111,6.1,45.7,49,2423.99
1.244,29.6,79.8,80,11316.11
1.284,14.7,90.7,52,3662.7
1.296,24.7,60.6,66,7885.08
1.226,15.1,39.9,80,9808.24
1.113,38.9,73.3,32,1393.37
1.025,36.8,71.2,73,8600.68
1.233,4.1,92.7,80,6922.55
1.168,9.3,42.8,42,2238.95
1.127,11.6,85.4,65,5604.07
1.272,-4.8,73.7,62,5195.74
1.033,10.2,87.2,50,2368.24
1.148,28.7,28.2,49,3773.04
1.003,32.3,86.2,47,3227.79
1.141,34.3,58.2,57,5637.07
1.017,-9.3,82,56,2442.94
1.036,29.4,39.5,53,3961.12
1.035,15.1,47.8,62,4205.68
1.195,0.3,53.2,35,1626.05
1.224,14.9,64,65,4825.24
1.175,32.2,60.8,65,7635.78
1.289,11.7,38.9,77,7519.86
1.112,39.5,92.3,39,2376.04
1.086,20.8,95.6,56,4338.55
1.261,14.5,39,44,3106.14
1.067,4.7,51.3,64,4427.8
1.289,-9.4,84.4,61,4171.39
1.004,20.5,82.6,58,4680.89
1.291,18.9,97.9,67,8266.36
1.013,15.8,95.8,32,1388.31
1.267,16.9,90,45,2672.56
1.158,32.2,66.9,65,6442.46
1.298,5.8,47,68,5446.47
1.022,17.5,61.8,41,2220.99
1.166,24,81.7,80,9709.82
1.291,0.5,28.3,60,4407.21
1.157,36.2,76.3,65,7592.84
1.189,26.9,91.7,63,5249.55
1.209,-7.3,36.8,56,3386.38
1.136,33.3,84.9,34,1552.42
1.188,36.5,91.3,64,7546.9
1.175,29.7,25.4,40,2753.32
1.27,11.3,96.6,48,3117.87
1.014,39.7,60.2,43,2193.76
1.084,-3.8,56.6,77,6692.08
1.285,16.8,68.2,63,6600.74
1.267,-1.5,37.1,67,6704.66
1.137,12,73.1,43,2039.65
1.186,36.4,84.7,43,2531.44
1.083,29.7,45.8,50,3562.98
1.056,29.1,40.4,43,2251.06
1.139,7.7,93.2,33,1116.15
1.106,36.7,57.4,48,3053.81
1.175,8.4,70.3,65,5062.72
1.023,-8,88.4,79,5496.82
1.292,21.9,77.4,47,4128.36
1.296,8.1,45.7,52,3701.08
1.209,-2.3,21.6,48,3034.38
1.161,36.7,57.5,57,4339.75
1.093,21.9,39.9,41,1792.46
1.244,37,53.6,30,1275.63
1.205,19.1,56.7,48,3736.55
1.049,-6.8,89.3,59,2788.29
1.273,-8.5,81.3,64,5710.89
1.247,35,35.7,66,6927.14
1.285,-8.1,45.3,36,1514.77
1.218,20.8,66.7,36,2145.43
1.184,4.9,65.2,73,7861.06
1.125,24.4,63.7,34,1544.4
1.28,4.2,96.2,36,1793.54
1.26,-8.1,75.4,62,4696.07
1.014,26.5,27.8,76,6656.3
1.008,5.5,95.2,74,6210.82
1.113,17.5,57.1,63,6154.08
1.243,28.7,66.4,50,3607.27
1.296,25.1,85.6,37,2161.04
1.045,7.4,37.1,52,3496.73
1.178,27.4,61,63,6475.12
1.114,36.3,88.8,52,4232.15
1.291,20.5,78.9,65,5636.22
1.253,25.2,48,40,2837.65
1.251,33.3,67.1,39,2990.85
1.141,32.2,20.6,67,6404.04
1.124,7.6,23.8,66,5468.95
1.082,39.6,29.1,66,5625.76
1.017,-8.6,75.6,31,1037.07
1.259,39.3,69.6,32,1507.84
1.244,2.3,93.3,40,1962.44
1.3,12,76.7,73,7874.99
1.299,34.2,53.6,55,4473.53
1.167,2.2,89.4,53,3834.74
1.231,1.2,23.4,80,9018.36
1.283,22.2,20.8,73,7260.73
1.255,25.3,40,66,5626.25
1.074,-9.6,30.2,43,1866.69
1.135,12.5,41.6,56,4719.98
1.039,14.5,44.4,36,1432.4
1.286,3.6,56.4,31,1462.57
1.182,17.3,68.8,44,2483.51
1.069,-2.3,48.2,59,4020.23
1.202,6.2,97.4,35,1621.83
1.185,25.7,63.3,56,4254.96
1.107,33.7,90.1,51,4594.16
1.034,19.5,84.2,34,1636.28
1.201,-6.3,23.8,58,3287.53
1.156,23.9,57.7,80,9238.64
1.232,34.9,84.5,63,7673.77
1.156,15.2,92.5,46,3292.95
1.256,14.7,70.6,37,1906.35
1.166,39.6,94.6,44,3257.62
1.168,21.8,73.1,45,3025.44
1.263,30.3,36.7,55,5123.16
1.121,22.3,64.7,47,3258.57
1.04,1,80.5,65,3577.55
1.009,4.2,73.3,36,1379.38
1.227,23.3,26.7,58,5265.42
1.186,12.8,39,32,1482.19
1.211,10.2,75,37,1922.55
1.064,-8.9,62.3,50,2114.31
1.041,34.2,22.5,36,1716.48
1.004,34.2,79.1,57,4235.76
1.105,13,26.4,61,4965.21
1.177,25,34.8,77,9296.2
1.118,-1.1,92.4,63,4774.42
1.131,15.2,45.2,62,5236.45
1.271,11.9,22.7,58,4583.99
1.104,22.8,21.4,71,6174.61
1.154,13.5,94.8,48,2626.84
1.235,14.9,49.8,52,3610.4
1.119,4.8,69.7,49,2657.18
1.187,-7.6,53.1,53,3279.93
1.259,35.9,37.1,32,1598.02
1.285,-9.4,90.2,43,1857.61
1.044,4.1,96,55,3911.82
1.278,12.4,99,30,1053.59
1.148,6,23.3,53,4018.82
1.077,17.6,24,35,1503.11
1.138,13.1,88.6,33,1434.87
1.294,2.8,34.1,58,5007.03
1.148,-5.6,64.9,38,1814.69
1.099,-3.1,66.4,33,1391.56
1.19,14.3,73,33,1563.76
1.072,32.3,23,44,2893.74
1.023,-5,44.7,60,3044.07
1.039,23.9,61.1,76,7441.82
1.038,29.6,34,53,4133.64
1.046,3.8,95.5,51,3348.18
1.042,23.4,86.3,59,3648.48
1.192,24.3,31.2,74,9144.11
1.055,25.4,73.7,64,6103.31
1.104,34.5,52.8,55,4367.46
1.269,9.9,44.9,31,1286.56
1.142,2.2,43.3,44,2667.05
1.2,17.2,73,79,8341.58
1.052,-6.9,92.3,57,2614.51
1.058,6.7,86.9,58,4354.95
1.012,34.2,47.9,57,5106.26
1.051,16.6,76.6,43,2303.45
1.084,11.8,62.2,33,1533.85
1.053,3.3,55.2,51,2992.97
1.027,2.5,43.7,66,3919.37
1.036,1.8,26.5,68,4230.19
1.138,31.5,35.4,54,4295.77
1.062,39.3,65.3,30,1328.27
1.109,16.7,78.3,45,2616.57
1.151,-6,22.9,42,2252.4
1.207,27.6,50.3,54,4489.3
1.012,33.9,33.3,61,5379.33
1.24,36.6,68.2,52,5214.53
1.188,21.4,89.2,77,9657.15
1.025,15.3,94.4,75,7148.86
1.262,21,90.8,52,4881.89
1.276,-9.4,89.8,62,4116
1.018,22.8,68.1,47,3190.32
1.083,25.5,39.4,66,5473.18
1.242,26.1,79.8,35,1960.27
1.224,18.2,78,31,1203.8
1.055,25,33.3,70,7092.65
1.063,21.9,35.6,40,2178.61
1.111,-4.2,28.7,38,1801.7
1.145,34.9,59.9,77,8855.48
1.185,21.1,45.7,44,2747.26
1.111,26.4,92,40,1863.97
1.139,7.1,22.9,36,1729.03
1.224,36,45.9,51,5142.59
1.011,15.1,90.1,70,6487.89
1.076,24,99.9,78,8748.88
1.214,37.6,77.8,33,2083.46
1.269,35.8,92.1,35,1970.72
1.154,22.2,21.3,36,1860.34
1.16,-1.7,81.7,61,3583.25
1.032,37.5,56.9,44,2616.19
1.134,39.2,75.2,33,1542.16
1.16,-4.8,54.4,55,2732.89
1.073,12.5,65.5,68,4674.86
1.081,17.4,40.8,72,7886.93
1.113,-5.4,65.9,61,4597.02
1.006,-0.5,43.3,60,3922.38
1.097,16.9,42.4,60,4537.59
1.063,38.2,46.2,57,4574.85
1.098,-8.6,36.1,65,4538.99
1.036,35.6,37.8,50,3149.5
1.267,34.9,94.5,68,7176.78
1.178,32.9,56.4,56,5698.27
1.204,8.9,69.1,38,1586.91
1.237,14.5,65.7,77,6972.7
1.15,10.2,41.2,57,4022.02
1.026,37.4,20,39,2072.06
1.161,16.1,28.3,61,4840.08
1.176,-6,86.5,76,6287.8
1.224,3.7,28.7,66,5133.49
1.129,13.1,36.5,50,2823.42
1.038,37.7,93,55,3587.83
1.085,18.4,84.6,66,4826.45
1.109,24.8,24.3,57,3657.4
1.194,-5.6,71.5,54,3092.97
1.171,33.9,61.3,42,2237.32
1.107,17,49.2,57,3885.41
1.296,36.1,59.8,36,2023.64
1.182,12.3,32.1,60,5105.03
1.071,24.2,96.4,75,7927.84
1.031,13.5,33.7,46,2414.06
1.046,-2.9,34.9,41,1858.46
1.074,3.6,49.5,47,2315.01
1.048,-6.6,37,72,4367.12
1.056,12,45,48,2225.09
1.086,22.5,23.2,47,2404.68
1.052,2.2,69.1,49,2622.1
1.269,14.5,39.3,34,1895.09
1.024,12.9,97.7,43,2226.43
1.157,16.7,29.1,43,2336.06
1.123,-0.8,26.2,36,1462.97
1.295,16.7,33.9,62,6653.33
1.034,8.2,63.4,48,2920.29
1.119,4.3,79.8,51,3193.85
1.291,19.3,64.7,67,7290.73
1.26,-2.6,88.8,34,1400.45
1.245,35,67.5,39,3061.92
1.077,36.7,31.1,60,5747.48
1.051,23,34.9,52,3543.14
1.201,5.2,48.6,67,6583.03
1.279,21.3,93.6,75,7653.73
1.167,20.1,56.8,44,2253.85
1.171,9.6,89.9,32,1110.44
1.084,4.4,26,62,5121.44
1.231,-1.6,74.9,50,2470.07
1.056,0.9,57.4,38,1611
1.097,22.7,33.8,60,5556.7
1.128,34.3,26.5,36,1965.1
1.152,9.2,45.2,65,4799.83
1.073,-3.9,85.6,52,3091.56
1.034,-9.4,71.2,77,6558.04
1.183,10.3,57,53,3139.34
1.087,1.6,87.6,80,7723.12
1.174,6.1,34.5,40,2191.46
1.046,2.1,42.3,63,4452.4
1.144,23.2,64.3,31,1248.61
1.16,21.9,67.2,45,2425.66
1.016,35.6,45.7,52,3032.37
1.101,25,60.3,72,7802.23
1.04,-1.8,29.6,35,1310.13
1.019,27.6,20.9,31,1156.4
1.297,-0.9,92.4,51,2994.34
1.097,17.9,55.3,34,1501.26
1.243,-6.1,38.5,74,5141.17
1.076,-7.6,46.4,56,3126.05
1.204,13.2,61.4,53,3786.08
1.228,-4.8,95.7,48,2529.14
1.179,5.3,77.7,63,4445.51
1.141,6.9,95.9,33,1180.02
1.124,28.5,29,32,1357.63
1.105,6.6,34.3,63,4460.31
1.279,14.7,49,36,1923.82
1.249,28.6,39.5,38,2670.82
1.29,0.2,96.6,30,939.48
1.037,30.2,33.7,78,6808.16
1.219,31.6,33.6,57,5985.64
1.282,39.4,59,65,7937.26
1.054,12.2,75.8,37,1314.02
1.02,8.5,50.3,75,6809.69
1.222,25.1,23.5,39,2522.2
1.172,-7.1,81.3,76,6075.05
1.253,-8,95.6,54,3806.58
1.042,6.7,84.8,56,3341.92
1.239,26.5,87.2,32,1373.84
1.06,-4.2,87.8,65,3838.43
1.049,21.8,80.8,77,6756.93
1.049,3.5,84.4,54,3538.56
1.244,22.6,26.1,74,6729.48
1.2,12.8,24.4,59,5208.71
1.157,-4.2,26,45,2476.74
1.108,2.4,67.3,64,5425.86
1.263,1,39.3,50,3816.22
1.118,-1.8,22.3,74,6058.59
1.245,13.4,26.1,69,7062.62
1.132,37.7,25.5,80,9741.64
1.113,22.9,70.2,51,3102.76
1.139,31.8,31.4,33,1586.32
1.09,39.1,87.7,62,5059.91
1.224,17,99.4,60,5484.78
